x,y,z
1869.3239290,758.0798020,-10270.0000000
1980.3598970,869.7662780,-11158.2826510
2116.3039340,1012.5759670,-12095.8147630
2280.1767710,1195.2939200,-13045.6196230
2474.2888690,1428.8129880,-13987.0399590
2699.6228490,1726.3703960,-14907.4820300
2955.0817370,2103.6129200,-15798.8010790
3236.5176440,2578.3688040,-16655.5043370
3535.6930120,3170.0282520,-17473.7729740
3839.2589350,3898.3731640,-18250.8922790
4127.9858610,4781.7540690,-18984.9015580
4376.5617510,5834.6259360,-19674.3696490
4554.2894050,7064.6337670,-20318.2458520
4626.9388240,8469.6666320,-20915.7580180
4559.7979490,10035.5029230,-21466.3411190
4321.6424780,11734.7182080,-21969.5861320
3888.9830110,13527.4252440,-22425.2027740
3249.7641520,15363.9462970,-22832.9919060
2405.8092290,17188.9979850,-23192.8248130
1373.6232750,18946.6556530,-23504.6274580
183.5624100,20585.2900080,-23768.3683840
-1122.4375840,22061.9281280,-23984.0493310
-2499.2882500,23348.0963300,-24151.6978980
-3964.7581170,24462.2914370,-24271.3617680
-5586.7106520,25437.6956260,-24343.1041250
-7456.5674550,26293.0067050,-24367.0000000
-8846.5980590,26776.1698710,-24408.0000000
-10291.0698520,27187.0508270,-24408.0000000
-11786.2802040,27521.9011380,-24408.0000000
-13328.3065720,27777.1595020,-24408.0000000
-14913.0158440,27949.4636460,-24408.0000000
-16536.0742950,28035.6617710,-24408.0000000
-18192.9581370,28032.8235000,-24408.0000000
-19878.9646380,27938.2503040,-24408.0000000
-21589.2237760,27749.4853760,-24408.0000000
-23318.7104100,27464.3229340,-24408.0000000
-25062.2569400,27080.8169150,-24408.0000000
-26814.5664220,26597.2890440,-24408.0000000
-28570.2261040,26012.3362500,-24408.0000000
-30323.7213640,25324.8374160,-24408.0000000
-32069.4500050,24533.9594320,-24408.0000000
-33801.7368770,23639.1625380,-24408.0000000
-35514.8487930,22640.2049400,-24408.0000000
-37203.0097030,21537.1466890,-24408.0000000
-38860.4160870,20330.3527930,-24408.0000000
-40481.2525320,19020.4955790,-24408.0000000